City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
San Francisco,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",6.4,4.69,8.11,4.69–8.11,2.54,1.58,3.49,1.58–3.49,1
Phoenix,AZ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",3.52,3.26,3.77,3.26–3.77,2.25,1.95,2.55,1.95–2.55,2
Philadelphia,PA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",3.27,2.8,3.75,2.8–3.75,0.19,0.15,0.24,0.15–0.24,3
Washington,DC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",3.17,2.14,4.21,2.14–4.21,1.08,0.58,1.57,0.58–1.57,4
Miami,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",3.14,2.24,4.05,2.24–4.05,1.34,0.93,1.75,0.93–1.75,5
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",2.94,2.61,3.27,2.61–3.27,1.19,1,1.38,1–1.38,6
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",2.86,2.59,3.14,2.59–3.14,1.17,1,1.35,1–1.35,7
Oakland,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",2.74,1.76,3.73,1.76–3.73,0.37,0.16,0.59,0.16–0.59,8
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",2.72,2.61,2.84,2.61–2.84,0.78,0.72,0.84,0.72–0.84,9
Durham,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",2.56,1.65,3.47,1.65–3.47,0.08,0.06,0.11,0.06–0.11,10
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",2.54,2.32,2.76,2.32–2.76,0.75,0.66,0.84,0.66–0.84,11
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",2.34,1.95,2.72,1.95–2.72,0.99,0.72,1.26,0.72–1.26,12
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",2.06,1.36,2.76,1.36–2.76,0.08,0.02,0.13,0.02–0.13,13
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",2.03,1.68,2.38,1.68–2.38,0.31,0.15,0.46,0.15–0.46,14
Boise,ID,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.99,1.44,2.55,1.44–2.55,0.57,0.37,0.77,0.37–0.77,15
Louisville,KY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.9,1.4,2.4,1.4–2.4,0.26,0.12,0.39,0.12–0.39,16
San Diego,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.78,1.51,2.06,1.51–2.06,0.48,0.36,0.59,0.36–0.59,17
Tulsa,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.73,1.24,2.22,1.24–2.22,0.8,0.51,1.09,0.51–1.09,18
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.64,1.51,1.77,1.51–1.77,0.61,0.54,0.68,0.54–0.68,19
Boulder,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.61,1.18,2.05,1.18–2.05,0.56,0.31,0.8,0.31–0.8,20
Albuquerque,NM,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.56,0.87,2.25,0.87–2.25,0.2,0.05,0.35,0.05–0.35,21
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.52,1.24,1.8,1.24–1.8,0.42,0.25,0.6,0.25–0.6,22
New Orleans,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.47,1.21,1.72,1.21–1.72,0.19,0.14,0.24,0.14–0.24,23
Austin,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.47,1.36,1.57,1.36–1.57,0.26,0.22,0.29,0.22–0.29,24
Jacksonville,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.44,1.28,1.59,1.28–1.59,0.31,0.25,0.37,0.25–0.37,25
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.1,0.95,1.25,0.95–1.25,0.11,0.07,0.14,0.07–0.14,26
Columbus,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.08,0.93,1.22,0.93–1.22,0.09,0.06,0.12,0.06–0.12,27
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.08,0.79,1.36,0.79–1.36,0.28,0.18,0.38,0.18–0.38,28
Baton Rouge,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.03,0.83,1.23,0.83–1.23,0.18,0.12,0.24,0.12–0.24,29
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)",1.01,0.9,1.12,0.9–1.12,0.13,0.09,0.16,0.09–0.16,30
