City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
San Francisco,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",5.6,4.18,7.02,4.18–7.02,2.26,1.46,3.05,1.46–3.05,1
Washington,DC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",3.41,2.41,4.41,2.41–4.41,1.07,0.61,1.53,0.61–1.53,2
Phoenix,AZ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",3.16,2.93,3.39,2.93–3.39,2,1.71,2.28,1.71–2.28,3
Philadelphia,PA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",3.09,2.66,3.53,2.66–3.53,0.19,0.15,0.23,0.15–0.23,4
Miami,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",3.06,2.23,3.89,2.23–3.89,1.47,1.06,1.88,1.06–1.88,5
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.96,2.57,3.35,2.57–3.35,1.26,1,1.51,1–1.51,6
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.77,2.52,3.03,2.52–3.03,0.86,0.75,0.97,0.75–0.97,7
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.71,2.59,2.84,2.59–2.84,0.76,0.69,0.82,0.69–0.82,8
Oakland,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.65,1.51,3.79,1.51–3.79,0.34,0.1,0.58,0.1–0.58,9
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.52,2.23,2.81,2.23–2.81,1.06,0.89,1.24,0.89–1.24,10
Durham,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.43,1.36,3.5,1.36–3.5,0.09,0.06,0.12,0.06–0.12,11
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.32,1.93,2.71,1.93–2.71,0.92,0.67,1.17,0.67–1.17,12
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.1,1.41,2.8,1.41–2.8,0.09,0.03,0.16,0.03–0.16,13
